Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,2340.0,CE,APLAPOLLO,20.8,21.9,14.2,18.2,38850,36400,2800,2226.4
26-Feb-2026,30-Mar-2026,2420.0,CE,APLAPOLLO,10.4,10.4,7.55,7.55,2450,11550,350,2226.4
26-Feb-2026,30-Mar-2026,2500.0,CE,APLAPOLLO,3.5,3.5,2.35,2.35,1050,5250,-700,2226.4
26-Feb-2026,30-Mar-2026,2360.0,CE,APLAPOLLO,0,0,0,35.15,0,1750,0,2226.4
26-Feb-2026,30-Mar-2026,2520.0,CE,APLAPOLLO,0,0,0,14.65,0,700,0,2226.4
26-Feb-2026,30-Mar-2026,2560.0,CE,APLAPOLLO,0,0,0,0.95,0,2450,0,2226.4
26-Feb-2026,30-Mar-2026,2460.0,CE,APLAPOLLO,0,0,0,6,0,700,0,2226.4
26-Feb-2026,30-Mar-2026,2400.0,CE,APLAPOLLO,11.85,12.25,7.5,9.6,53200,93100,2100,2226.4
26-Feb-2026,30-Mar-2026,2440.0,CE,APLAPOLLO,0,0,0,6.8,0,2100,0,2226.4
26-Feb-2026,30-Mar-2026,2480.0,CE,APLAPOLLO,5.05,5.05,4,4.25,5950,15050,-3150,2226.4
26-Feb-2026,30-Mar-2026,2380.0,CE,APLAPOLLO,11.15,11.15,11.15,11.15,350,3500,0,2226.4
26-Feb-2026,30-Mar-2026,1800.0,PE,APLAPOLLO,0,0,0,18,0,350,0,2226.4
26-Feb-2026,30-Mar-2026,2060.0,PE,APLAPOLLO,7.6,8.4,6.7,6.85,14350,29400,-7000,2226.4
26-Feb-2026,30-Mar-2026,1960.0,PE,APLAPOLLO,0,0,0,6.5,0,1050,0,2226.4
26-Feb-2026,30-Mar-2026,2100.0,PE,APLAPOLLO,9.35,14.25,9.35,10.8,43750,207900,0,2226.4
26-Feb-2026,30-Mar-2026,2020.0,PE,APLAPOLLO,0,0,0,16.2,0,700,0,2226.4
26-Feb-2026,30-Mar-2026,2040.0,PE,APLAPOLLO,0,0,0,6.1,0,13650,0,2226.4
